iter	Passed	Remaining
922	9503	792
923	9512	782
924	9521	772
925	9530	761
926	9539	751
927	9551	741
928	9560	730
929	9569	720
930	9579	709
931	9588	699
932	9597	689
933	9607	678
934	9616	668
935	9625	658
936	9635	647
937	9644	637
938	9653	627
939	9663	616
940	9672	606
941	9681	596
942	9691	585
943	9701	575
944	9710	565
945	9719	554
946	9729	544
947	9748	534
948	9760	524
949	9772	514
950	9783	504
951	9796	493
952	9807	483
953	9818	473
954	9830	463
955	9841	452
956	9851	442
957	9860	432
958	9870	422
959	9880	411
960	9890	401
961	9900	391
962	9911	380
963	9921	370
964	9933	360
965	9943	349
966	9953	339
967	9962	329
968	9971	319
969	9981	308
970	9990	298
971	10000	288
972	10009	277
973	10019	267
974	10030	257
975	10042	246
976	10051	236
977	10061	226
978	10071	216
979	10081	205
980	10091	195
981	10100	185
982	10111	174
983	10120	164
984	10130	154
985	10140	143
986	10150	133
987	10159	123
988	10169	113
989	10181	102
990	10191	92
991	10200	82
992	10210	71
993	10219	61
994	10229	51
995	10238	41
996	10248	30
997	10257	20
998	10266	10
999	10276	0
